type produit;numero AMM;nom produit;Composition;Revendication;Dénomination de classe;
MFSC;1171282;MICROCAT BORE;Bore (B) (Min: 6.0 %, Max: 6.0 %)  | Acides aminés libres (Min: 2.0 %, Max: 2.0 %)  | Azote total (Min: 3.2 %, Max: 3.2 %)  | Azote organique (Min: 3.2 %, Max: 3.2 %)  | pH (Min: 8.0 , Max: 8.0 ) ;;Matière fertilisante;
MFSC;1171285;MICROCAT ZINC;Zinc (Zn) (Min: 8.0 %, Max: 8.0 %)  | Acides aminés libres (Min: 2.0 %, Max: 2.0 %)  | Azote total (Min: 4.3 %, Max: 4.3 %)  | Azote organique (Min: 0.4 %, Max: 0.4 %)  | Azote nitrique (Min: 3.9 %, Max: 3.9 %)  | pH (Min: 3.0 , Max: 3.0 ) ;;Matière fertilisante;
MFSC;1190119;PREVAIL;Sinorhizobium meliloti (Min: 110000000 UFC/g, Max: 110000000 UFC/g)  | Rhizobium leguminosarum (Min: 110000000 UFC/g, Max: 110000000 UFC/g)  | Azospiririllum sp. (Min: 110000000 UFC/g, Max: 110000000 UFC/g) ;;Préparation bactérienne;
MFSC;1180825;NEUTRAFLORE BTC;Oxyde de magnésium (MgO) (Min: 10.5 %, Max: 10.5 %)  | Valeur neutralisante (Min: 35.0 , Max: 35.0 )  | Finesse de mouture (Min: 100.0 %, Max: 100.0 %)  | Finesse de mouture (Min: 96.9 %, Max: 96.9 %)  | Bacillus amyloliquefaciens M4 (Min: 10000.0 UFC/kg, Max: 10000.0 UFC/kg)  | Trichoderma asperellum, souche FF12 (Min: 10000.0 UFC/kg, Max: 10000.0 UFC/kg)  | Coniothyrium minitans FV1 (Min: 10000.0 UFC/kg, Max: 10000.0 UFC/kg) ;;Préparation bactérienne;
MFSC;6200440;MYC 800;Glomus intraradices (Min: 800.0 propagule/g, Max: 800.0 propagule/g) ;;Matière fertilisante;
MFSC;1180073;TRAINER;Matière séche (Min: 49.0 %, Max: 49.0 %)  | Acides aminés et peptides totaux (Min: 30.0 %, Max: 30.0 %)  | Azote total (Min: 5.0 %, Max: 5.0 %)  | Azote organique (Min: 5.0 %, Max: 5.0 %)  | pH (Min: 4.0 , Max: 4.0 ) ;;Matière fertilisante | Matière fertilisante;
MFSC;1160009;RIZOFOS LIQ;pH (Min: 6.6 ., Max: 6.6 .)  | Matière séche (Min: 8.0 % MB, Max: 8.0 % MB)  | Pseudomonas fluorescens souche 1008 (Min: 100000000 UFC/ml, Max: 100000000 UFC/ml) ;;Préparation bactérienne;
MFSC;1190715;KAOUA OLEO;Matière séche (Min: 58.0 %, Max: 58.0 %)  | Oxyde de potassium (K2O) total (Min: 1.0 %, Max: 1.0 %)  | Bore (B) total (Min: 7.4 %, Max: 7.4 %)  | Molybdène (Mo) (Min: 0.45 %, Max: 0.45 %)  | Carbone organique (CO) total (Min: 10.0 %, Max: 10.0 %)  | Acides aminés libres (Min: 6.0 %, Max: 6.0 %)  | pH (Min: 8.8 , Max: 8.8 ) ;;Matière fertilisante;
MFSC;1190315;B-300;Penicillium bilaiae souche P201  (Min: 1500000000 UFC/g, Max: 1500000000 UFC/g)  | Penicillium bilaiae souche P208 (Min: 1500000000 UFC/g, Max: 1500000000 UFC/g) ;;Préparation fongique;
MFSC;1000032;RESID MG;;;Matière fertilisante;
MFSC;1000036;TRANSFORMER;;;Matière fertilisante;
MFSC;1000040;ROOTGROW;;;Matière fertilisante;
MFSC;6180433;FERDISOL PLUS;Matière séche (Min: 22.0 % MB, Max: 29.0 % MB)  | Matières organiques (Min: 16.0 % MB, Max: 21.0 % MB)  | Phosphore  (Min: 0.3 % MB, Max: 1.2 % MB)  | Potassium (Min: 0.5 % MB, Max: 1.3 % MB)  | Azote total (Min: 0.4 % MB, Max: 1.1 % MB) ;Azote ammoniacal (Min:  , Max:  )  | Azote organique (Min:  , Max:  )  | Magnésium (MgO) (Min:  , Max:  )  | Cuivre (Cu) (Min:  , Max:  )  | Zinc (Zn) (Min:  , Max:  )  | pH (Min:  , Max:  )  | C/N (Min:  , Max:  ) ;Amendement organique;
MFSC;1190056;SUPER FIFTY;Oxyde de potassium total (K2O) (Min: 8.0 %, Max: 8.0 %)  | Carbone organique (C) (Min: 12.0 %, Max: 12.0 %)  | pH (Min: 9.5 , Max: 9.5 ) ;Extrait d'algue (Ascophyllum nodosum) (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1190022;FERTILEADER LEOS;Bore (B) total (Min: 1.7 %, Max: 1.7 %)  | Zinc chélaté (Min: 2.6 %, Max: 2.6 %)  | pH (Min: 8.0 , Max: 8.0 ) ;;Matière fertilisante;
MFSC;1180426;FERTEOS;;;Stimulateur de l'activité microbienne du sol;
MFSC;1120004;NOSYSORB;Capacité d'absorption d'une eau distillée (Min: 300.0 mL, Max: 300.0 mL)  | Capacité d'absorption par gramme de solution de Nitrate de Calcium Ca(NO3)2 à 2 g/L (Min: 40.0 mL, Max: 40.0 mL) ;;Rétenteur d'eau;
MFSC;1170597;CAPT;Granulométrie (passant entre les tamis de 0,315 et 1 mm) (Min: 94.0 %, Max: 94.0 %)  | Capacité d'absorption par gramme (eau distillée) (Min: 300.0 mL, Max: 300.0 mL)  | Capacité d'absorption par gramme (solution de Ca(NO3)2 à 2 g/L) (Min: 40.0 mL, Max: 40.0 mL) ;;Rétenteur d'eau;
MFSC;1190058;AQUAPERLA;Matière séche (Min: 95.9 % MB, Max: 95.9 % MB)  | Polymère (Min: 95.0 % MB, Max: 95.0 % MB)  | Capacité d'échange cationique (Min: 469.6 , Max: 469.6 )  | Granulométrie (Min: 0.8 , Max: 2.0 ) ;;Rétenteur d'eau;
MFSC;1190704;CLINSOL;Trichoderma hamatum (Min: 1999999970000000000 UFC/g, Max: 1999999970000000000 UFC/g)  | Glomus intraradices (Min: 1.0 propagule/g, Max: 1.0 propagule/g) ;;Préparation fongique;
MFSC;1171098;KELPAK;Matière séche (Min: 2.3 % MB, Max: 2.3 % MB)  | Matières organiques (Min: 0.7 % MB, Max: 0.7 % MB)  | pH (Min: 4.8 , Max: 4.8 )  | Acides aminés totaux (Min: 1.1 g/L, Max: 1.1 g/L)  | Acide glutamique (Min: 0.18 g/L, Max: 0.18 g/L)  | Proline (Min: 0.05 g/L, Max: 0.05 g/L) ;Extrait d'algue (Ecklonia maxima) (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1200549;FERT ACTIV 4-3-8;Matière organique (MO) (Min: 53.0 %, Max: 53.0 %)  | Azote (N) total (Min: 4.0 %, Max: 4.0 %)  | Azote (N) organique (Min: 4.0 %, Max: 4.0 %)  | Anhydride phosphorique (P2O5) total (Min: 3.0 %, Max: 3.0 %)  | Oxyde de potassium (K2O) (Min: 8.0 %, Max: 8.0 %)  | Oxyde de magnesium (MgO) (Min: 2.0 %, Max: 2.0 %)  | Oxyde de calcium (CaO) (Min: 8.0 %, Max: 8.0 %)  | Extrait d'algues et extrait végétaux (Min: 26.0 %, Max: 26.0 %) ;ph (Min:  , Max:  )  | Mannitol (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1200436;SALICYLPUR;Extrait d'écorce de saule (Min: 9.0 %, Max: 9.0 %)  | Salicine (Min: 1.37 %, Max: 1.37 %)  | pH (Min: 5.0 , Max: 5.0 ) ;;Matière fertilisante;
MFSC;1180827;B-300F;Penicillium bilaiae (Min: 1500000000 UFC/g, Max: 1500000000 UFC/g)  | Penicillium bilaiae (Min: 1500000000 UFC/g, Max: 1500000000 UFC/g) ;;Préparation fongique;
MFSC;1180153;B-360;Matière séche (Min: 0.24 % MB, Max: 0.24 % MB)  | Lipo-chitooligosaccharide SP104 (Min: 0.0000010 % MB, Max: 0.0000010 % MB) ;;Matière fertilisante;
MFSC;1190795;TRICHODUO;Trichoderma harzianum souche B97 (Min: 1000000.0 UFC/g, Max: 1000000.0 UFC/g)  | Trichoderma asperellum (Min: 1000000.0 UFC/g, Max: 1000000.0 UFC/g)  | Maltodextrine (Min: 99.8 %, Max: 99.8 %) ;;Préparation fongique;
MFSC;1190793;SAUVIGNON BLANC PRO-THIOLS;Matière séche (Min: 97.0 %, Max: 97.0 %)  | Acides aminés libres (Min: 21.0 %, Max: 21.0 %)  | Azote (N) total (Min: 9.0 %, Max: 9.0 %)  | Azote organique (Min: 9.0 %, Max: 9.0 %)  | Acide glutamique (Min: 5.8 %, Max: 5.8 %)  | Alanine (Min: 2.3 %, Max: 2.3 %)  | Leucine (Min: 1.7 %, Max: 1.7 %)  | Isoleucine (Min: 1.3 %, Max: 1.3 %)  | pH (Min: 5.95 , Max: 5.95 ) ;;Matière fertilisante;
MFSC;1190716;FERTI AMI;Matière séche (Min: 93.0 %, Max: 93.0 %)  | Acides aminés libres (Min: 55.0 %, Max: 55.0 %)  | Azote (N) total (Min: 10.0 %, Max: 10.0 %)  | Azote organique (Min: 9.0 %, Max: 9.0 %)  | Azote ammoniacal (Min: 1.0 %, Max: 1.0 %)  | pH (Min: 5.0 , Max: 5.0 ) ;;Matière fertilisante | Additif agronomique;
MFSC;1160072;FERTILEADER ELITE;;;Matière fertilisante;
MFSC;1160074;FERTILEADER GOLD;;;Matière fertilisante;
MFSC;1190517;FERTILEADER KALEO;Azote (N) total (Min: 4.0 %, Max: 4.0 %)  | Anhydride phosphorique (Min: 6.0 %, Max: 6.0 %)  | Oxyde de potassium (K2O)  (Min: 9.0 %, Max: 9.0 %)  | Bore (B) (Min: 0.05 %, Max: 0.05 %)  | Cuivre (Cu) (Min: 0.02 %, Max: 0.02 %)  | Fer (Fe) (Min: 0.02 %, Max: 0.02 %)  | Manganèse (Mn) (Min: 0.1 %, Max: 0.1 %)  | Molybdène (Mo) (Min: 0.01 %, Max: 0.01 %)  | Zinc (Zn) (Min: 0.05 %, Max: 0.05 %) ;Carbone organique total (Min:  , Max:  )  | Activité cytokinique (Min:  , Max:  )  | Glycine bétaïne (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1190792;FERTILEADER MAGGIO;Oxyde de magnésium (MgO) (Min: 6.0 %, Max: 6.0 %)  | Anhydride sulfurique SO3 (Min: 12.0 %, Max: 12.0 %)  | pH (Min: 3.7 , Max: 3.7 ) ;Activité cytokinique (Min:  , Max:  )  | Glycine bétaïne (Min:  , Max:  )  | Carbone organique total (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1160075;FERTILEADER MAGICAL;;;Matière fertilisante;
MFSC;1190816;FERTILEADER SILVER;Bore (B) (Min: 6.5 %, Max: 6.5 %)  | pH (Min: 8.5 , Max: 8.5 ) ;Carbone organique (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1160076;FERTILEADER VERTIS;;;Matière fertilisante;
MFSC;1190709;FERTILEADER VIRIDIS;Fer (Fe) (Min: 5.5 %, Max: 5.5 %) ;Carbone organique total (Min:  , Max:  )  | Activité cytokinique (Min:  , Max:  )  | Glycine bétaïne (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1200284;BLUEN;Methylobacterium dankooekense Sb 23 (Min: 3.107 UFC/g, Max: 3.107 UFC/g) ;;Matière fertilisante;
MFSC;1190085;GENEO 101;Azote (N) total (Min: 7.0 %, Max: 7.0 %)  | Azote uréique (Min: 7.0 %, Max: 7.0 %)  | Anhydre phosphorique (P2O5) (Min: 9.0 %, Max: 9.0 %)  | Oxyde de potassium (K2O)  (Min: 13.0 %, Max: 13.0 %)  | Bore (B) total (Min: 0.01 %, Max: 0.01 %)  | Cuivre chélaté (Min: 0.0020 %, Max: 0.0020 %)  | Fer chélaté (Min: 0.04 %, Max: 0.04 %)  | Manganèse chélaté (Min: 0.01 %, Max: 0.01 %)  | Molybdène (Mo) (Min: 0.0010 %, Max: 0.0010 %)  | Zinc chélaté (Min: 0.0020 %, Max: 0.0020 %) ;Carbone organique (Min:  , Max:  )  | Substances humiques* (Min:  , Max:  )  | Acide aminé (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1190084;GENEO 102;Azote (N) total (Min: 7.0 %, Max: 7.0 %)  | Azote (N) total (Min: 7.0 %, Max: 7.0 %)  | Anhydre phosphorique (P2O5) (Min: 9.0 %, Max: 9.0 %)  | Oxyde de potassium total (K2O) soluble dans l'eau (Min: 13.0 %, Max: 13.0 %)  | Zinc chélaté (Min: 2.0 %, Max: 2.0 %) ;Carbone organique (Min:  , Max:  )  | Substances humiques* (Min:  , Max:  )  | Acide aminé (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1190086;GENEO 104;Azote (N) total (Min: 14.0 %, Max: 14.0 %)  | Azote uréique (Min: 14.0 %, Max: 14.0 %)  | Oxyde de potassium (K2O)  (Min: 5.0 %, Max: 5.0 %) ;Carbone organique (Min:  , Max:  )  | Substances humiques* (Min:  , Max:  )  | Acide aminé (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1180653;RACINETT;Matière séche (Min: 22.0 %, Max: 22.0 %)  | Acides aminés libres (Min: 2.0 %, Max: 2.0 %)  | Azote total (Min: 0.5 %, Max: 0.5 %)  | Azote organique (Min: 0.5 %, Max: 0.5 %)  | Manganèse (Mn) (Min: 2.0 %, Max: 2.0 %)  | Manganèse complexé (Min: 2.0 %, Max: 2.0 %)  | pH (Min: 4.0 , Max: 4.0 )  | Densité (Min: 1.17 g/mL, Max: 1.17 g/mL) ;;Matière fertilisante;
MFSC;1000053;AS45;Oxyde de calcium (CaO) total (Min: 40.0 %, Max: 40.0 %)  | Oxyde de magnésium (MgO) total (Min: 2.0 %, Max: 2.0 %)  | Anhydride phosphorique (Min: 1.0 %, Max: 1.0 %)  | Valeur neutralisante (Min: 40.0 , Max: 40.0 )  | Finesse de mouture passant à 0,630 mm (Min: 55.0 %, Max: 55.0 %)  | Finesse de mouture passant à 0,315 mm (Min: 42.0 %, Max: 42.0 %)  | Finesse de mouture passant à 0,160 mm (Min: 28.0 %, Max: 28.0 %) ;pH (Min:  , Max:  ) ;Amendement minéral basique;
MFSC;1200159;TRICHOSYM BIO;Trichoderma harzianum (Min: 500000000 propagule/g, Max: 500000000 propagule/g) ;;Préparation fongique;
MFSC;1200025;AGRHO S-BOOST ELX EU;Matière séche (Min: 30.0 %, Max: 30.0 %)  | Hydroxypropyl guar hydroxypropyltrimonium chloride (Min: 25.0 %, Max: 25.0 %) ;;Matière fertilisante;
MFSC;1130011;LA PLUIE SOLIDE;Capacité d'absorption d'une solution de Nitrate de Calcium Ca(NO3)2 à 2 g/L (Min: 40.0 mL, Max: 40.0 mL)  | Capacité d'absorption d'une eau distillée (Min: 300.0 mL, Max: 300.0 mL) ;;Rétenteur d'eau;
MFSC;1160080;LYCC 6420;;;Additif agronomique;
MFSC;8410030;AQUASORB 3005;Granulométrie (passant entre les tamis de 0,315 et 1 mm) (Min: 94.0 %, Max: 94.0 %)  | Capacité d'absorption par gramme (solution de Ca(NO3)2 à 2 g/L) (Min: 40.0 mL, Max: 40.0 mL)  | Capacité d'absorption par gramme (eau distillée) (Min: 300.0 mL, Max: 300.0 mL) ;;Rétenteur d'eau;
MFSC;1190520;XURIAN;Pseudomonas putida souche I-4613 (Min: 100000000 UFC/g, Max: 100000000 UFC/g) ;;Préparation bactérienne;
MFSC;1180459;ROOTER;Matière séche (Min: 22.0 % MB, Max: 22.0 % MB)  | Anhydride phosphorique (Min: 13.0 % MB, Max: 13.0 % MB)  | Oxyde de potassium (Min: 5.0 % MB, Max: 5.0 % MB)  | Filtrat d'Ascophyllum nodosum GA 142 (Min: 25.0 % MB, Max: 25.0 % MB)  | pH (Min: 2.0 , Max: 2.0 ) ;;Engrais;
MFSC;1180781;CALICO MAX;Matière séche (Min: 9.8 % MB, Max: 9.8 % MB)  | Zinc (Zn) (Min: 1.0 % MB, Max: 1.0 % MB)  | Manganèse (Mn) (Min: 1.0 % MB, Max: 1.0 % MB)  | Filtrat d'Ascophyllum nodosum GA 142 (Min: 93.0 % MB, Max: 93.0 % MB)  | pH (Min: 2.5 , Max: 2.5 ) ;;Matière fertilisante;
MFSC;1110014;RHIZOCELL;Bacyllus amyloliquefaciens (Min: 1000000000 UFC/g, Max: 1000000000 UFC/g)  | Bacyllus amyloliquefaciens (Min: 1000000000 UFC/g, Max: 1000000000 UFC/g) ;;Matière fertilisante | Matière fertilisante;
